id,path,title,date,status,court,docket,judge,guessed_court,guessed_docket,guessed_judge,guessed_caption,order_type,order_date,confidence,notes
2025-05-22-gao-b337137-impoundment-ev-charging,/mnt/data/debugging-democracy/timeline/2025-05-22-gao-b337137-impoundment-ev-charging.yaml,GAO finds EV charging funds freeze violated Impoundment Control Act,2025-05-22,litigation: active,,,,,,,,,,n/a,"Not a court case; GAO legal opinion B-337137. Update timeline 'authority' and 'status' (e.g., 'GAO legal decision')."
2025-06-12-breyer-ruling-and-ninth-circuit-stays,/mnt/data/debugging-democracy/timeline/2025-06-12-breyer-ruling-and-ninth-circuit-stays.yaml,Judge Breyer finds LA deployment unlawful; Ninth Circuit stays preserve status quo,2025-06-12,litigation: active,U.S. District Court (N.D. Cal.),,Charles R. Breyer,U.S. District Court (N.D. Cal.),3:25-cv-04870,Charles R. Breyer,Newsom et al. v. Trump et al.,TRO / preliminary findings,2025-06-12,high,Appeal stay at 9th Cir. (No. 25-3727) on 2025-06-20
2025-07-11-la-press-tro,/mnt/data/debugging-democracy/timeline/2025-07-11-la-press-tro.yaml,Federal court restrains LAPD from using projectiles on journalists covering protests,2025-07-11,litigation: active,,,,U.S. District Court (C.D. Cal.),,David O. Carter,Los Angeles Times et al. v. City of Los Angeles et al.,Temporary Restraining Order,2025-07-11,medium,Press-protection TRO; confirm caption/docket.
2024-02-09-meta-nonrecc-political-default,/mnt/data/debugging-democracy/timeline/2024-02-09-meta-nonrecc-political-default.yaml,Meta makes political content non‑recommended by default on Instagram and Threads,2024-02-09,litigation: active,,,,,,,,,,n/a,Platform policy; not a court case. Consider updating timeline status from 'litigation' to 'policy change' and remove from docket queue.
2025-08-08-dc-federal-surge-and-guard-prep,/mnt/data/debugging-democracy/timeline/2025-08-08-dc-federal-surge-and-guard-prep.yaml,White House orders federal surge in D.C.; FBI agents patrol streets; Guard activation prepared,2025-08-08,litigation: active,,,,,,,,,,n/a,Deployment/operations; not a court case (yet). Consider updating status to 'announced/active' only.
2025-02-07_to_02-21_doge_treasury_injunctions,/mnt/data/debugging-democracy/timeline/2025-02-07_to_02-21_doge_treasury_injunctions.yaml,Courts restrict DOGE access to Treasury/OPM systems; multistate suit proceeds,2025-02-07,litigation: active,U.S. District Court (Southern District of New York),,,U.S. District Court (S.D.N.Y.),1:25-cv-01144,Jeannette A. Vargas,State of New York et al. v. Trump et al.,Preliminary Injunction,2025-02-21,high,DOGE access to Treasury systems restricted.
2025-02-11_ap_oval_office_barred,/mnt/data/debugging-democracy/timeline/2025-02-11_ap_oval_office_barred.yaml,AP says White House barred its reporter from Oval Office event,2025-02-11,litigation: active,,,,U.S. District Court (D.D.C.),1:25-cv-00532,Trevor N. McFadden,Associated Press v. Budowich,Preliminary Injunction,2025-04-08,high,Order restored AP access; later modifications possible on appeal.
2025-06-27_alligator_alcatraz_env_suit_filed,/mnt/data/debugging-democracy/timeline/2025-06-27_alligator_alcatraz_env_suit_filed.yaml,Environmental groups file suit to block 'Alligator Alcatraz' in Everglades,2025-06-27,litigation: active,U.S. District Court (S.D. Fla.),,,U.S. District Court (S.D. Fla.),1:25-cv-22896,Kathleen M. Williams,"Friends of the Everglades, Inc. et al. v. Noem et al.",Complaint filed,2025-06-27,high,Same docket as later TRO.
2025-07-15_miccosukee_moves_to_intervene,/mnt/data/debugging-democracy/timeline/2025-07-15_miccosukee_moves_to_intervene.yaml,Miccosukee Tribe seeks to intervene in environmental suit,2025-07-15,litigation: active,U.S. District Court (S.D. Fla.),,,U.S. District Court (S.D. Fla.),1:25-cv-22896,Kathleen M. Williams,"Friends of the Everglades, Inc. et al. v. Noem et al.",Motion to Intervene,2025-07-15,high,Miccosukee Tribe intervention in same case.
2025-08-07_alligator_alcatraz_construction_pause_TRO,/mnt/data/debugging-democracy/timeline/2025-08-07_alligator_alcatraz_construction_pause_TRO.yaml,Federal judge orders 14-day pause on new construction at Alligator Alcatraz,2025-08-07,litigation: active,U.S. District Court (S.D. Fla.),,Kathleen Williams,U.S. District Court (S.D. Fla.),1:25-cv-22896,Kathleen M. Williams,"Friends of the Everglades, Inc. et al. v. Noem et al.",Temporary Restraining Order,2025-08-07,high,TRO pausing new construction.
